stop_code,stop_url,stop_lat,stop_timezone,preferred,stop_desc,stop_id,parent_station,stop_name,stop_lon,location_type,wheelchair_boarding,zone_id
2234,,43.85417000000001,,1,,2234,,Eastbound @ 625 Kingston,-79.056628,0,2,
2235,,43.85603900000001,,2,,2235,,Kingston Eastbound @ Mill,-79.048411,0,2,
2236,,43.8576991,,1,,2236,,Kingston Eastbound @ Westney,-79.0409645,0,1,
2238,,43.858841,,2,,2238,,Kingston Eastbound @ Ritchie,-79.035728,0,1,
2240,,43.860433,,2,,2240,,Eastbound @ 113 Kingston,-79.028621,0,1,
2241,,43.861263,,1,,2241,,Kingston Eastbound @ Harwood,-79.025056,0,1,
2242,,43.862037,,2,,2242,,Eastbound @ 69 Kingston,-79.021604,0,1,
2244,,43.881479,,2,,2244,,Rossland Westbound @ Salem,-79.020109,0,1,
2246,,43.88795600000001,,2,,2246,,Westney Southbound @ Atherton,-79.04816599999998,0,2,
2247,,43.88526,,2,,2247,,Westney Southbound @ Williamson,-79.047031,0,2,
2248,,43.881817,,2,,2248,,Southbound @ 1328 Westney,-79.045538,0,2,
2249,,43.880069,,2,,2249,,Westney Southbound @ Telford,-79.04483999999998,0,2,
225,,43.884831,,2,,225,,Anderson Northbound @ Dundas,-78.922613,0,1,
2250,,43.877313,,2,,2250,,Westney Southbound @ Rossland (North side stop),-79.043719,0,1,
2252,,43.87696840000001,,1,,2252,,Westney Northbound @ Rossland,-79.0432136,0,1,
2253,,43.879701,,2,,2253,,Westney Northbound @ Telford,-79.044516,0,2,
2254,,43.881886,,2,,2254,,Northbound @ 1331 Westney,-79.045439,0,2,
2256,,43.88721000000001,,2,,2256,,Westney Northbound @ Curtis,-79.047648,0,2,
2257,,43.88983600000001,,2,,2257,,Northbound @ 1753 Westney,-79.048786,0,2,
2258,,43.87519152,,1,,2258,,Westney Southbound @ Rossland (South side stop),-79.042872,0,1,
2259,,43.872596,,2,,2259,,Westney Southbound @ Coughlen,-79.041717,0,1,
226,,43.886903,,2,,226,,Anderson Northbound @ Crawforth,-78.923509,0,1,
2260,,43.8698042,,2,,2260,,Westney Southbound @ Ivers,-79.04054189999998,0,1,
2261,,43.866866,,1,,2261,,Westney Southbound @ Delaney,-79.039272,0,1,
2262,,43.86482,,2,,2262,,Southbound @ 350 Westney,-79.039095,0,1,
2263,,43.8632403,,2,,2263,,Southbound @ 216 Westney,-79.0398311,0,1,
2264,,43.860608,,2,,2264,,Westney Southbound @ Millington,-79.041014,0,2,
2265,,43.857804,,2,,2265,,Westney Southbound @ Kingston (North side stop),-79.041983,0,1,
2266,,43.854027,,2,,2266,,Westney Southbound @ Bramwell,-79.041345,0,1,
2268,,43.846828,,2,,2268,,Westney Southbound @ Fairall,-79.03957,0,1,
2269,,43.8434567,,2,,2269,,Westney Southbound @ O'Brien,-79.03655988,0,1,
227,,43.890994,,2,,227,,Anderson Northbound @ Frederick,-78.925314,0,1,
2270,,43.84046,,2,,2270,,Westney Southbound @ Bayly,-79.035459,0,1,
2276,,43.83075500000001,,2,,2276,,Westney Eastbound @ Harwood,-79.016374,0,2,
2277,,43.831821,,2,,2277,,Westney Northbound @ Clements,-79.032781,0,2,
228,,43.892564,,2,,228,,Anderson Northbound @ Maplewood,-78.925967,0,1,
2280,,43.8412546,,2,,2280,,Westney Northbound @ Bayly (North side stop),-79.0353224,0,1,
2281,,43.843068,,2,,2281,,Westney Northbound @ O'Brien,-79.036025,0,1,
2282,,43.853799,,2,,2282,,Westney Northbound @ Ritchie,-79.041066,0,1,
2283,,43.85724787,,2,,2283,,Westney Northbound @ Kingston,-79.04155679,0,1,
2285,,43.861546,,2,,2285,,Westney Northbound @ Ravenscroft,-79.040329,0,1,
2286,,43.866181,,1,,2286,,Westney Northbound @ Magill,-79.038754,0,1,
2287,,43.87030193,,2,,2287,,Westney Northbound @ Ivers,-79.040561,0,1,
